Type,Country,Activity,Sex ,Age,Fatal (Y/N),Species 
Provoked,FRENCH POLYNESIA,Spearfishing,M,26,N,"Grey reef shark, 2 m"
Unprovoked,USA,Spearfishing,M,26,N,"Bull shark, 7'"
Unprovoked,NEW CALEDONIA,Walking,F,69,Y,"Tiger shark, 2.5 m"
Unprovoked,USA,Fishing,M,34,N,5' to 6' shark
Provoked,BAHAMAS,other,M,9,N,"Nurse shark, 2.5-ft"
Unprovoked,AUSTRALIA,Fishing,M,27,N,Bronze whaler
Unprovoked,BRAZIL,Swimming,M,41,N,Sandtiger shark
Unprovoked,BRAZIL,Swimming,M,41,N,Sandtiger shark
Unprovoked,USA,Surfing,M,27,N,"Reef shark, 5'"
Unprovoked,USA,Spearfishing,M,27,N,Bull sharks x 2
Boating,UNITED ARAB EMIRATES,Fishing,M,27,N,Mako shark
Unprovoked,USA,Paddle boarding,M,48,N,"Tiger shark, 14'"
Unprovoked,AUSTRALIA,Surfing,M,27,N,Wobbegong shark
Unprovoked,AUSTRALIA,Wading,M,11,N,Blacktip shark
Unprovoked,AUSTRALIA,Spearfishing,M,31,N,3 m shark
Boating,SOUTH AFRICA,Kayak Fishing,M,27,N,"White shark, 3 m"
Unprovoked,SPAIN,Swimming,F,38,N,"Silky shark, 6.5'"
Unprovoked,USA,Paddle boarding,M,71,N,9' shark
Unprovoked,AUSTRALIA,Surfing,M,43,N,"Bronze whaler shark, 6'"
Unprovoked,BRAZIL,Scuba diving,M,32,N,"Tiger shark, 1.5 m "
Boating,AUSTRALIA,Fishing,M,27,N,"White shark, 3.5 m"
Unprovoked,BAHAMAS,Lobster fishing,M,26,N,Bull shark
Unprovoked,ECUADOR,Snorkeling,M,55,N,Galapagos shark
Unprovoked,USA,Surfing,M,28,N,"Spinner shark, 7'"
Unprovoked,AUSTRALIA,Surfing,M,20,N,"Bull shark, 2.8 to 3.1 m"
Unprovoked,USA,Wading,F,28,N,3' to 5' shark
Unprovoked,SOUTH AFRICA,Surfing,M,42,N,"White shark, 3 to 3.5m "
Unprovoked,USA,Surfing,M,21,N,5' shark
Unprovoked,USA,Surfing,M,21,N,"Spinner shark, 5'"
Unprovoked,USA,Swimming,M,44,N,"Tiger shark, 7'"
Boating,USA,Kayak Fishing,M,27,N,Hammerhead sp.
Unprovoked,USA,Surfing,M,25,N,"Tiger shark, 13' "
Unprovoked,USA,Wading,M,13,N,4' to 5' shark
Unprovoked,USA,Surfing,M,14,N,"Blacktip shark, 4' to 5'"
Unprovoked,USA,Surfing,M,22,N,"Blacktip shark, 5' to 6'"
Boating,USA,Kayak fishing,M,27,N,"White shark, 19'"
Unprovoked,USA,Surfing,M,14,N,juvenile shark
Unprovoked,USA,Spearfishing,M,27,N,"Tiger shark, 13'"
Unprovoked,USA,Wading,M,12,N,4' shark
Boating,USA,Kayak Fishing,M,27,N,Hammerhead shark
Unprovoked,AUSTRALIA,Surfing,M,42,N,6' shark
Unprovoked,USA,Stand-Up Paddleboarding,F,50,N,"White shark, 11' to 12'"
Provoked,USA,Kayak Fishing,M,29,N,Hammerhead shark.
Unprovoked,AUSTRALIA,Surf-skiing,M,62,N,"White shark, 2.5 m"
Unprovoked,USA,other,M,27,N,4' shark?
Unprovoked,THAILAND,Wading,F,37,N,small shark
Unprovoked,FIJI,Spearfishing,M,27,N,Tiger shark
Unprovoked,USA,Surfing,F,54,N,"White shark, 11' to 12'"
Unprovoked,USA,Surfing,M,21,N,"White shark, 10' to 12' "
Unprovoked,USA,Surfing,M,15,N,4' shark
Unprovoked,USA,Walking,F,10,N,3' shark
Boating,USA,Kayak Fishing,M,22,N,"White shark, 13'"
Provoked,USA,Spearfishing,M,57,N,Hammerhead shark. 6' to 7'
Unprovoked,AUSTRALIA,Surfing,M,52,N,White shark
Unprovoked,USA,Surfing,M,25,N,"Blacktip or spinner shark, 4'"
Unprovoked,AUSTRALIA,Scallop diving on hookah,M,46,Y,"White shark, 3.9 to 4.2 m"
Provoked,USA,Kayak Fishing,M,31,N,"Mako shark, 100-lb"
Unprovoked,AUSTRALIA,Surfing,M,40,N,"Bronze whaler shark, 1.5m"
Unprovoked,REUNION,Surfing,M,45,N,"Bull shark, 2m"
Unprovoked,SOUTH AFRICA,Surfing,M,34,N,White shark
Unprovoked,USA,Surfing,M,38,N,"White shark, 7'"
Unprovoked,BAHAMAS,Spearfishing,F,23,N,6' shark
Unprovoked,AUSTRALIA,Surfing,M,52,N,White shark
Unprovoked,AUSTRALIA,Body boarding ,M,32,N,White shark
Unprovoked,USA,Swimming,M,68,N,6' to 7' shark
Unprovoked,USA,Playing in the water,M,12,N,4' to 5' shark
Unprovoked,USA,Swimming,M,18,N,Bull shark
Unprovoked,SOUTH AFRICA,Body Boarding,M,19,N,White shark
Unprovoked,SOUTH AFRICA,Surfing,M,23,N,"White shark, 2m to 3 m"
Unprovoked,USA,Standing,M,43,N,4' shark
Provoked,AUSTRALIA,Swimming,M,19,N,Wobbegong shark
Unprovoked,USA,Swimming,M,6,N,Sandtiger shark
Invalid,AUSTRALIA,Surfing,F,37,N,White shark
Unprovoked,USA,Standing,M,9,N,small shark
Unprovoked,USA,Wading,M,16,N,Bull shark
Unprovoked,USA,Wading,F,12,N,Bull shark
Unprovoked,USA,other,F,27,N,Mako shark
Unprovoked,USA,Boogie boarding,F,13,N,4' shark
Unprovoked,USA,Playing,M,11,N,"Bull shark, 5'"
Unprovoked,USA,Attempting to rescue a shark,F,17,N,small nurse shark
Unprovoked,REUNION,Surfing,M,47,N,"Bull shark, 2.5 m"
Unprovoked,FRENCH POLYNESIA,Spearfishing,M,19,N,1m to 1.2 m shark
Unprovoked,USA,Surfing,M,18,N,5' shark
Unprovoked,USA,other,M,30,N,6' shark
Unprovoked,NEW CALEDONIA,Snorkeling,M,50,Y,"Bull shark, 3.5 m"
Unprovoked,AUSTRALIA,Surfing,M,27,N,White shark
Unprovoked,SOUTH AFRICA,Diving,M,29,N,"White shark, 3.5 m"
Unprovoked,USA,Wading,M,63,N,3- to 4-foot shark
Unprovoked,AUSTRALIA,Surfing,M,26,N,"White shark, 6 m"
Unprovoked,AUSTRALIA,Surf skiing ,M,71,N,"White shark, 3 m"
Unprovoked,USA,Photographing the shark,M,48,N,"Blue shark, 8 to 9 feet"
Unprovoked,REUNION,Surfing,M,13,Y,Bull shark
Unprovoked,USA,Spearfishing,M,70,N,Bull shark
Boating,SOUTH AFRICA,Kayak Fishing,M,36,N,"White shark, 4 m"
Unprovoked,EGYPT,Swimming,M,52,Y,Mako shark
Unprovoked,USA,Standing / Snorkeling,M,58,N,"Tiger shark, 8 to 12 feet"
